,YEAR,STATEFIP,avg_inc,avg_age,avg_educ,avg_educd,sex,insurance,white,black,american_indian_or_alaska_native,chinese,japanese,other_asian_or_pacific_islander,other_race,two_major_races,three_or_more_major_races,married_spouse_present,married_spouse_absent,separated,divorced,widowed,single,NA,at_work,has_job_not_working,armed_forces_at_work,unemployed,not_in_labor_force,FIP
037,2015,6,527508.44,50.78,7.28,75.04,0.49,0.9,1927771.0,377965.0,14462.0,182943.0,63430.0,341167.0,507796.0,102997.0,4296.0,1470860.0,94578.0,156807.0,427986.0,281459.0,1091137.0,1168.0,2231731.0,65418.0,1752.0,94430.0,1128328.0,6037
073,2015,6,765623.18,49.56,7.63,78.59,0.49,0.91,908667.0,65988.0,5570.0,16482.0,7396.0,91018.0,58623.0,23937.0,7874.0,477300.0,47828.0,20434.0,230323.0,91125.0,318545.0,60.0,715534.0,10000.0,49147.0,34418.0,376396.0,6073
085,2015,6,615511.78,49.99,8.28,85.24,0.46,0.96,356897.0,26871.0,4341.0,100151.0,10689.0,138639.0,79954.0,26737.0,4506.0,394850.0,16121.0,23578.0,78472.0,51407.0,184357.0,764.0,453654.0,13219.0,0.0,19641.0,261507.0,6085
001,2015,6,500963.46,49.29,8.08,83.08,0.47,0.93,288719.0,91350.0,4042.0,48504.0,4791.0,91970.0,30927.0,29162.0,9341.0,303452.0,13684.0,15777.0,79355.0,35150.0,151388.0,0.0,380739.0,21226.0,913.0,20312.0,175616.0,6001
029,2015,6,1244773.84,45.4,5.84,60.66,0.51,0.86,225788.0,27155.0,269.0,4760.0,0.0,11227.0,34746.0,10479.0,0.0,136063.0,20719.0,12243.0,44160.0,18081.0,83158.0,0.0,162154.0,3443.0,1093.0,22860.0,124874.0,6029
000,2015,6,980584.96,53.42,7.07,72.98,0.49,0.9,456023.0,21810.0,11244.0,6856.0,1646.0,17708.0,34581.0,14326.0,1931.0,269765.0,23757.0,6647.0,99534.0,63950.0,102472.0,180.0,263317.0,7170.0,9295.0,16691.0,269472.0,6000
077,2015,6,479714.11,49.58,6.96,71.74,0.47,0.93,146226.0,6692.0,6243.0,7231.0,808.0,13980.0,24685.0,17200.0,0.0,112499.0,7784.0,4416.0,35913.0,17513.0,44940.0,30.0,123937.0,9341.0,2260.0,12875.0,74622.0,6077
067,2015,6,543471.23,47.84,7.43,76.39,0.51,0.95,330111.0,56122.0,0.0,21781.0,1827.0,64268.0,27696.0,31721.0,479.0,253811.0,15090.0,10509.0,75658.0,29027.0,149910.0,0.0,327957.0,8997.0,0.0,14296.0,182755.0,6067
065,2015,6,446909.92,51.03,6.85,70.86,0.51,0.86,513175.0,46464.0,13339.0,7859.0,9910.0,30494.0,93635.0,11692.0,913.0,382613.0,32606.0,33099.0,108050.0,69613.0,101500.0,0.0,417076.0,8322.0,1497.0,25809.0,274777.0,6065
013,2015,6,387181.29,54.22,8.12,83.42,0.57,0.96,242630.0,42157.0,1272.0,8264.0,4626.0,36138.0,34193.0,13489.0,719.0,214761.0,6916.0,7216.0,62095.0,28563.0,63937.0,0.0,234025.0,14163.0,0.0,9761.0,125539.0,6013
083,2015,6,1592139.07,51.13,7.79,80.26,0.5,0.87,125539.0,1856.0,0.0,2575.0,1976.0,6708.0,12515.0,1138.0,659.0,53232.0,6827.0,1557.0,29536.0,14775.0,47039.0,0.0,77697.0,1093.0,1063.0,7366.0,65747.0,6083
075,2015,6,792750.86,49.0,8.38,85.97,0.43,0.96,191994.0,13534.0,1737.0,82093.0,1048.0,37472.0,14207.0,15839.0,2620.0,128832.0,21271.0,180.0,34925.0,20464.0,154872.0,0.0,239929.0,3818.0,0.0,7381.0,109416.0,6075
019,2015,6,541479.92,48.67,6.63,68.64,0.49,0.89,214836.0,19102.0,4776.0,853.0,1153.0,33608.0,28189.0,9520.0,0.0,137437.0,6527.0,21005.0,50242.0,22364.0,74462.0,0.0,175661.0,5120.0,0.0,12485.0,118771.0,6019
071,2015,6,852699.21,50.62,6.67,69.01,0.52,0.91,469215.0,104118.0,8415.0,11437.0,4581.0,43218.0,84865.0,17350.0,1302.0,332973.0,17380.0,44520.0,132903.0,51737.0,164988.0,150.0,407959.0,7261.0,16333.0,22320.0,290478.0,6071
059,2015,6,504944.71,51.76,7.89,81.27,0.48,0.94,710291.0,16392.0,5015.0,52066.0,14956.0,152604.0,72243.0,24087.0,853.0,573035.0,22155.0,16017.0,136181.0,79668.0,221451.0,884.0,645041.0,15717.0,0.0,23488.0,363377.0,6059
061,2015,6,802722.1,52.88,8.15,83.65,0.44,0.97,113261.0,1302.0,0.0,5195.0,958.0,11482.0,4102.0,8712.0,0.0,84894.0,1422.0,4356.0,21647.0,9236.0,23457.0,0.0,77783.0,1347.0,1317.0,12455.0,52110.0,6061
097,2015,6,867892.75,53.72,7.34,75.91,0.51,0.94,171327.0,2381.0,3533.0,1108.0,1138.0,1797.0,19161.0,973.0,2500.0,92870.0,4641.0,7200.0,31572.0,17156.0,50479.0,0.0,112436.0,9446.0,1557.0,3219.0,77260.0,6097
095,2015,6,713558.99,50.6,7.61,78.3,0.5,0.96,84939.0,43053.0,494.0,0.0,0.0,12785.0,13834.0,3592.0,6123.0,66603.0,2919.0,5598.0,29311.0,11407.0,48982.0,0.0,96870.0,1991.0,3053.0,5943.0,56963.0,6095
039,2015,6,1296125.61,50.17,6.38,66.08,0.66,0.97,48773.0,12650.0,1003.0,0.0,0.0,0.0,3757.0,404.0,0.0,42426.0,0.0,2335.0,12919.0,0.0,8907.0,0.0,30405.0,0.0,0.0,6841.0,29341.0,6039
099,2015,6,414824.9,53.92,6.21,64.25,0.43,0.92,138682.0,11840.0,5942.0,0.0,0.0,10808.0,14342.0,284.0,2485.0,78307.0,3428.0,7305.0,38608.0,20913.0,35822.0,0.0,91647.0,0.0,0.0,6766.0,85970.0,6099
031,2015,6,2985023.12,41.98,6.4,66.07,0.32,0.92,34715.0,8069.0,2903.0,0.0,254.0,0.0,10105.0,1123.0,0.0,22021.0,3488.0,0.0,5539.0,793.0,25328.0,0.0,33532.0,0.0,3563.0,0.0,20074.0,6031
089,2015,6,244171.01,48.95,7.61,78.16,0.53,0.92,73230.0,0.0,2785.0,0.0,1602.0,4596.0,0.0,5224.0,0.0,39280.0,2006.0,3144.0,24672.0,1841.0,16494.0,0.0,50014.0,0.0,0.0,5389.0,32034.0,6089
113,2015,6,900634.37,45.49,7.2,74.42,0.46,0.9,79190.0,928.0,0.0,5958.0,0.0,5180.0,10195.0,2380.0,0.0,37438.0,898.0,988.0,14671.0,8427.0,41409.0,0.0,59535.0,0.0,1332.0,3667.0,39297.0,6113
025,2015,6,1933533.92,48.36,5.47,57.02,0.17,0.9,29684.0,6856.0,2828.0,0.0,0.0,329.0,11558.0,0.0,0.0,36735.0,1303.0,524.0,1452.0,0.0,11241.0,0.0,30133.0,554.0,0.0,434.0,20134.0,6025
023,2015,6,200743.54,54.83,7.08,72.28,0.64,0.97,37889.0,4910.0,2934.0,0.0,0.0,1243.0,0.0,0.0,0.0,18444.0,0.0,0.0,6810.0,12350.0,9372.0,0.0,18848.0,1751.0,0.0,958.0,25419.0,6023
111,2015,6,459624.29,56.18,7.66,78.84,0.51,0.95,212481.0,12874.0,2066.0,4387.0,9611.0,11977.0,7471.0,8278.0,0.0,146661.0,18084.0,7275.0,33831.0,37949.0,25345.0,0.0,147231.0,6032.0,4641.0,13906.0,97335.0,6111
079,2015,6,1703737.35,51.31,7.46,76.7,0.53,0.89,99086.0,3923.0,0.0,2246.0,0.0,3757.0,1452.0,1841.0,0.0,53817.0,1752.0,1826.0,14955.0,9924.0,30031.0,0.0,55675.0,0.0,0.0,5344.0,51286.0,6079
081,2015,6,349224.09,53.15,8.41,86.62,0.46,0.99,139582.0,13054.0,0.0,33322.0,1272.0,46991.0,13922.0,9162.0,2439.0,129206.0,7081.0,6227.0,47499.0,15480.0,54251.0,0.0,176184.0,4281.0,0.0,3068.0,76211.0,6081
107,2015,6,155312.41,48.49,6.01,62.41,0.49,0.93,127482.0,5045.0,763.0,0.0,0.0,2291.0,25989.0,3952.0,2350.0,79160.0,5883.0,9789.0,10418.0,29805.0,32817.0,0.0,89703.0,1123.0,0.0,10193.0,66853.0,6107
007,2015,6,273934.23,54.35,7.78,79.92,0.57,1.0,88981.0,0.0,270.0,0.0,0.0,6422.0,3713.0,1901.0,0.0,51227.0,1886.0,6287.0,18203.0,5150.0,18534.0,0.0,44701.0,2425.0,0.0,6033.0,48128.0,6007
017,2015,6,497473.59,57.52,7.83,80.49,0.51,0.92,72650.0,105.0,0.0,0.0,0.0,0.0,5374.0,0.0,0.0,48863.0,0.0,1602.0,9521.0,5853.0,12290.0,0.0,37994.0,0.0,0.0,2635.0,37500.0,6017
055,2015,6,771503.37,53.68,7.99,82.27,0.56,0.99,36617.0,1168.0,0.0,0.0,0.0,2949.0,8054.0,240.0,105.0,16287.0,5449.0,0.0,9027.0,8938.0,9432.0,105.0,22321.0,1228.0,0.0,2320.0,23159.0,6055
087,2015,6,1397506.29,47.6,7.9,80.85,0.53,0.98,111736.0,2934.0,0.0,1707.0,0.0,1916.0,4835.0,3758.0,0.0,51138.0,3473.0,6782.0,16152.0,14251.0,35090.0,0.0,81526.0,1048.0,0.0,5329.0,38983.0,6087
041,2015,6,651482.35,57.24,8.84,90.7,0.53,0.94,97200.0,314.0,0.0,1258.0,0.0,419.0,5285.0,7156.0,494.0,57501.0,2679.0,2126.0,20808.0,10718.0,18294.0,0.0,63848.0,0.0,0.0,0.0,48278.0,6041
047,2015,6,1012213.35,42.43,6.21,64.81,0.48,0.84,41588.0,4850.0,644.0,524.0,0.0,5929.0,14761.0,0.0,0.0,36185.0,4297.0,0.0,2125.0,1856.0,23833.0,0.0,46333.0,0.0,0.0,1033.0,20930.0,6047
